Action,Action Name,Replacement Threshold,Global Best Gravity,Individual Best Gravity
3,Encourage social learning,1.0,1.64579822,1.34656218
0,Do nothing,1.0,1.64579822,1.34656218
3,Encourage social learning,1.0,1.8103780420000002,1.2119059620000001
3,Encourage social learning,1.0,1.9914158462000005,1.0907153658000002
0,Do nothing,1.0,1.9914158462000005,1.0907153658000002
4,Encourage individual learning,1.0,1.7922742615800005,1.1997869023800003
0,Do nothing,1.0,1.7922742615800005,1.1997869023800003
4,Encourage individual learning,1.0,1.6130468354220004,1.3197655926180005
4,Encourage individual learning,1.0,1.4517421518798004,1.4517421518798006
4,Encourage individual learning,1.0,1.3065679366918204,1.5969163670677808
4,Encourage individual learning,1.0,1.1759111430226383,1.756608003774559
4,Encourage individual learning,1.0,1.0583200287203745,1.932268804152015
4,Encourage individual learning,1.0,0.952488025848337,2.1254956845672166
4,Encourage individual learning,1.0,0.88,2.3380452530239384
4,Encourage individual learning,1.0,0.88,2.41
4,Encourage individual learning,1.0,0.88,2.41
4,Encourage individual learning,1.0,0.88,2.41
4,Encourage individual learning,1.0,0.88,2.41
4,Encourage individual learning,1.0,0.88,2.41
4,Encourage individual learning,1.0,0.88,2.41
